elapsed time,receive time,header.stamp,topic,value
3.53121749,1644874263.980840674,,/diagnostics/iterative_octree_time.data,0.020571824000000002
3.6317853810000003,1644874264.081408565,,/diagnostics/iterative_octree_time.data,0.011761862000000001
3.772532082,1644874264.222155266,,/diagnostics/iterative_octree_time.data,0.0225448
3.852928906,1644874264.302552090,,/diagnostics/iterative_octree_time.data,0.016165596
3.974785426,1644874264.424408610,,/diagnostics/iterative_octree_time.data,0.012923102
4.055235655,1644874264.504858839,,/diagnostics/iterative_octree_time.data,0.041122924000000005
4.145742108,1644874264.595365292,,/diagnostics/iterative_octree_time.data,0.01327963
4.226151084,1644874264.675774268,,/diagnostics/iterative_octree_time.data,0.011336614
4.35684232,1644874264.806465504,,/diagnostics/iterative_octree_time.data,0.032711402
4.438701866,1644874264.888325050,,/diagnostics/iterative_octree_time.data,0.007668
4.5695126120000005,1644874265.019135796,,/diagnostics/iterative_octree_time.data,0.038958944
4.6505132840000005,1644874265.100136468,,/diagnostics/iterative_octree_time.data,0.014324884000000001
4.781288128,1644874265.230911312,,/diagnostics/iterative_octree_time.data,0.025528028
4.851643536,1644874265.301266720,,/diagnostics/iterative_octree_time.data,0.016223152
4.975244537,1644874265.424867721,,/diagnostics/iterative_octree_time.data,0.033373110000000004
5.055750236,1644874265.505373420,,/diagnostics/iterative_octree_time.data,0.018456442
5.19670589,1644874265.646329074,,/diagnostics/iterative_octree_time.data,0.017209178000000002
5.26710753,1644874265.716730714,,/diagnostics/iterative_octree_time.data,0.010076438
5.408433932,1644874265.858057116,,/diagnostics/iterative_octree_time.data,0.010319680000000001
5.489331606,1644874265.938954790,,/diagnostics/iterative_octree_time.data,0.024184696000000002
5.589867159,1644874266.039490343,,/diagnostics/iterative_octree_time.data,0.041978428000000005
5.660275959,1644874266.109899143,,/diagnostics/iterative_octree_time.data,0.006830236000000001
5.793323658,1644874266.242946842,,/diagnostics/iterative_octree_time.data,0.034948902000000004
5.864872016,1644874266.314495200,,/diagnostics/iterative_octree_time.data,0.007159866000000001
5.945398485,1644874266.395021669,,/diagnostics/iterative_octree_time.data,0.007101752
6.035989728,1644874266.485612912,,/diagnostics/iterative_octree_time.data,0.011491042
6.157331842,1644874266.606955026,,/diagnostics/iterative_octree_time.data,0.0072098200000000005
