elapsed time,receive time,header.stamp,topic,value
3.521181271,1644874263.970804455,,/diagnostics/iterative_octree_algorithm_time.data,0.108728
3.621728698,1644874264.071351882,,/diagnostics/iterative_octree_algorithm_time.data,0.132916
3.762476422,1644874264.212099606,,/diagnostics/iterative_octree_algorithm_time.data,0.12062600000000001
3.842860073,1644874264.292483257,,/diagnostics/iterative_octree_algorithm_time.data,0.13370500000000002
3.964702418,1644874264.414325602,,/diagnostics/iterative_octree_algorithm_time.data,0.11497900000000001
4.03512279,1644874264.484745974,,/diagnostics/iterative_octree_algorithm_time.data,0.11127500000000001
4.135684957,1644874264.585308141,,/diagnostics/iterative_octree_algorithm_time.data,0.089868
4.216094555,1644874264.665717739,,/diagnostics/iterative_octree_algorithm_time.data,0.136407
4.346776482,1644874264.796399666,,/diagnostics/iterative_octree_algorithm_time.data,0.086563
4.438701866,1644874264.888325050,,/diagnostics/iterative_octree_algorithm_time.data,0.126944
4.549283046,1644874264.998906230,,/diagnostics/iterative_octree_algorithm_time.data,0.11194500000000002
4.640374963,1644874265.089998147,,/diagnostics/iterative_octree_algorithm_time.data,0.109933
4.771138545,1644874265.220761729,,/diagnostics/iterative_octree_algorithm_time.data,0.10967400000000001
4.841586213,1644874265.291209397,,/diagnostics/iterative_octree_algorithm_time.data,0.128506
4.955125064,1644874265.404748248,,/diagnostics/iterative_octree_algorithm_time.data,0.093521
5.04569156,1644874265.495314744,,/diagnostics/iterative_octree_algorithm_time.data,0.13202300000000003
5.176458644,1644874265.626081828,,/diagnostics/iterative_octree_algorithm_time.data,0.145354
5.257039786,1644874265.706662970,,/diagnostics/iterative_octree_algorithm_time.data,0.11851400000000001
5.408433932,1644874265.858057116,,/diagnostics/iterative_octree_algorithm_time.data,0.110957
5.478804767,1644874265.928427951,,/diagnostics/iterative_octree_algorithm_time.data,0.13681700000000002
5.569749506,1644874266.019372690,,/diagnostics/iterative_octree_algorithm_time.data,0.22384300000000001
5.660275959,1644874266.109899143,,/diagnostics/iterative_octree_algorithm_time.data,0.151431
5.773208261,1644874266.222831445,,/diagnostics/iterative_octree_algorithm_time.data,0.114598
5.864872016,1644874266.314495200,,/diagnostics/iterative_octree_algorithm_time.data,0.12469400000000001
5.935341297,1644874266.384964481,,/diagnostics/iterative_octree_algorithm_time.data,0.138803
